player_id,player_name,season,age,box_plus_minus,height,weight,nba_draft_pick,win_shares,minutes_played,player_efficiency_rating,vorp,out_of_league,win_shares_per_minute,composite_score
paytoga02,Gary Payton II,2020,27.30665978987603,0.41874999999999996,75.0,190.0,61.0,0.28125,432.0,0.37291666666666673,0.3614583333333333,0,,0.3458333333333333
niangge01,Georges Niang,2020,26.76455420328912,0.70625,79.0,230.0,50.0,0.5291666666666667,772.0,0.46875,0.6458333333333333,0,,0.5979166666666667
zubaciv01,Ivica Zubac,2020,23.013621602802672,0.8989583333333333,84.0,240.0,32.0,0.9375,1156.0,0.91875,0.828125,0,,0.9166666666666671
laymaja01,Jake Layman,2020,26.044484659909422,0.19166666666666665,80.0,209.0,47.0,0.2552083333333333,505.0,0.2875,0.125,0,,0.18958333333333333
poeltja01,Jakob Pöltl,2020,24.437333247155333,0.9208333333333333,85.0,230.0,9.0,0.7447916666666667,965.0,0.8760416666666666,0.8166666666666667,0,,0.8645833333333334
murraja01,Jamal Murray,2020,23.076593464608084,0.7791666666666667,76.0,201.0,7.0,0.84375,1804.0,0.796875,0.8489583333333333,0,,0.85
brownja02,Jaylen Brown,2020,23.410618119260945,0.75625,78.0,223.0,3.0,0.8729166666666667,1702.0,0.7760416666666667,0.8166666666666667,0,,0.8354166666666667
carusal01,Alex Caruso,2020,26.063650009158582,0.6520833333333333,77.0,186.0,61.0,0.60625,1032.0,0.340625,0.6458333333333333,0,,0.5666666666666667
embiijo01,Joel Embiid,2020,26.01984349726361,0.9739583333333333,84.0,250.0,3.0,0.9375,1329.0,0.9781249999999999,0.9510416666666666,0,,0.9729166666666667
hernaju01,Juan Hernangómez,2020,24.48387766593957,0.21979166666666666,81.0,220.0,15.0,0.41145833333333337,833.0,0.296875,0.084375,0,,0.24166666666666667
dunnkr01,Kris Dunn,2020,26.014367683851532,0.5541666666666667,75.0,205.0,5.0,0.6208333333333333,1269.0,0.4395833333333333,0.6166666666666667,0,,0.5625
brogdma01,Malcolm Brogdon,2020,27.279280720546236,0.8291666666666666,77.0,229.0,36.0,0.7770833333333333,1472.0,0.809375,0.8489583333333333,0,,0.8458333333333333
beaslma01,Malik Beasley,2020,23.320267187965428,0.36875,76.0,198.0,19.0,0.4583333333333333,1209.0,0.48958333333333337,0.3614583333333333,0,,0.4166666666666666
chrisma01,Marquese Chriss,2020,22.72340346157189,0.725,81.0,240.0,8.0,0.759375,1196.0,0.8697916666666667,0.7375,0,,0.8104166666666667
siakapa01,Pascal Siakam,2020,25.973299077850644,0.875,81.0,230.0,27.0,0.9197916666666666,1882.0,0.846875,0.9291666666666667,0,,0.9125
mccawpa01,Patrick McCaw,2020,24.409954176884195,0.3895833333333333,79.0,185.0,38.0,0.475,908.0,0.11666666666666667,0.3614583333333333,0,,0.31875
cookqu01,Quinn Cook,2020,27.000014205573212,0.21979166666666666,73.0,179.0,61.0,0.28125,409.0,0.30625,0.22291666666666665,0,,0.24791666666666667
mcgruro01,Rodney McGruder,2020,28.650972130216314,0.24583333333333332,76.0,200.0,61.0,0.3729166666666667,749.0,0.09375,0.125,0,,0.18333333333333332
labissk01,Skal Labissière,2020,24.012957660280563,0.46458333333333335,82.0,216.0,28.0,0.475,567.0,0.675,0.46562499999999996,0,,0.5135416666666666
princta02,Taurean Prince,2020,26.003416055464104,0.24583333333333332,79.0,218.0,61.0,0.34479166666666666,1857.0,0.21354166666666669,0.04791666666666666,0,,0.1875
makerth01,Thon Maker,2020,23.07111765105657,0.4510416666666667,84.0,221.0,10.0,0.49479166666666663,776.0,0.546875,0.46562499999999996,0,,0.4770833333333333
luwawti01,Timothé Luwawu-Cabarrot,2020,24.87266046160469,0.228125,79.0,210.0,24.0,0.41145833333333337,671.0,0.19791666666666669,0.125,0,,0.225
satorto01,Tomáš Satoranský,2020,28.396346779914992,0.4760416666666667,79.0,198.0,61.0,0.7770833333333333,1878.0,0.5322916666666666,0.6166666666666667,0,,0.6177083333333333
grahatr01,Treveon Graham,2020,26.400412570358284,0.10208333333333333,77.0,223.0,61.0,0.21875,929.0,0.09791666666666667,0.01875,0,,0.07291666666666667
hernawi01,Willy Hernangómez,2020,25.82271419357836,0.6520833333333333,83.0,240.0,35.0,0.3729166666666667,375.0,0.8624999999999999,0.534375,0,,0.6229166666666667
ferreyo01,Yogi Ferrell,2020,26.871332576909424,0.31354166666666666,72.0,180.0,61.0,0.28125,484.0,0.31666666666666665,0.22291666666666665,0,,0.28020833333333334
naderab01,Abdel Nader,2020,26.490763502671488,0.5239583333333333,77.0,225.0,58.0,0.43229166666666663,756.0,0.365625,0.534375,0,,0.4479166666666665
mckinal01,Alfonzo McKinnie,2020,27.512002816617493,0.11145833333333333,79.0,215.0,61.0,0.21875,593.0,0.18854166666666666,0.04791666666666666,0,,0.12291666666666666
zizican01,Ante Žižić,2020,23.21348881565346,0.228125,82.0,254.0,23.0,0.3041666666666667,221.0,0.7489583333333334,0.22291666666666665,0,,0.36458333333333376
clevean01,Antonius Cleveland,2020,26.134835590412028,0.05,77.0,195.0,61.0,0.115625,22.0,0.04375,0.3614583333333333,0,,0.12708333333333333
adebaba01,Bam Adebayo,2020,22.67959694822821,0.9395833333333333,81.0,255.0,14.0,0.9802083333333333,2235.0,0.9083333333333333,0.9791666666666666,0,,0.9666666666666667
simmobe01,Ben Simmons,2020,23.673457192262234,0.9479166666666666,82.0,230.0,1.0,0.9666666666666667,1930.0,0.9156249999999999,0.96875,0,,0.9645833333333336
bogdabo01,Bogdan Bogdanović,2020,27.594140026746185,0.6864583333333334,78.0,220.0,61.0,0.6302083333333333,1510.0,0.5895833333333333,0.7625,0,,0.6875
swanica01,Caleb Swanigan,2020,22.928746485418174,0.08541666666666667,81.0,260.0,26.0,0.115625,288.0,0.13645833333333335,0.084375,0,,0.06770833333333334
osmande01,Cedi Osman,2020,24.95753557906882,0.2989583333333333,79.0,215.0,31.0,0.5104166666666666,1910.0,0.31666666666666665,0.084375,0,,0.29583333333333334
bouchch01,Chris Boucher,2020,27.194405602963524,0.796875,81.0,200.0,61.0,0.734375,724.0,0.8822916666666667,0.6812499999999999,0,,0.8125
leeda03,Damion Lee,2020,27.418913978565545,0.34375,77.0,210.0,61.0,0.5291666666666667,1423.0,0.48958333333333337,0.22291666666666665,0,,0.3833333333333333
dotsoda01,Damyean Dotson,2020,25.880210240314558,0.4510416666666667,77.0,202.0,44.0,0.3927083333333333,836.0,0.33541666666666664,0.46562499999999996,0,,0.4125
theisda01,Daniel Theis,2020,27.9664953788736,0.8854166666666666,80.0,215.0,61.0,0.9447916666666667,1382.0,0.8375,0.875,0,,0.9041666666666667
foxde01,De'Aaron Fox,2020,22.255221363122523,0.8427083333333334,75.0,185.0,5.0,0.7770833333333333,1426.0,0.8979166666666667,0.8489583333333333,0,,0.86875
smithde03,Dennis Smith Jr.,2020,22.32366903824875,0.08125,74.0,195.0,9.0,0.004166666666666667,537.0,0.12604166666666666,0.034375,0,,0.0125
whitede01,Derrick White,2020,25.724149540427856,0.75625,76.0,190.0,29.0,0.759375,1468.0,0.7093750000000001,0.7989583333333333,0,,0.7916666666666675
brookdi01,Dillon Brooks,2020,24.16628045289333,0.15000000000000002,79.0,220.0,45.0,0.41145833333333337,1851.0,0.353125,0.00625,0,,0.2125
wilsodj01,D.J. Wilson,2020,24.08961905624865,0.2,82.0,231.0,17.0,0.2552083333333333,280.0,0.16458333333333333,0.22291666666666665,0,,0.18541666666666667
mitchdo01,Donovan Mitchell,2020,23.539299749044364,0.8531249999999999,73.0,215.0,13.0,0.9197916666666666,2165.0,0.859375,0.9395833333333333,0,,0.9145833333333333
bacondw01,Dwayne Bacon,2020,24.563276970359716,0.06770833333333334,78.0,221.0,40.0,0.00625,687.0,0.08541666666666668,0.01875,0,,0.0
sumneed01,Edmond Sumner,2020,24.2265144077659,0.234375,76.0,176.0,52.0,0.2552083333333333,345.0,0.26979166666666665,0.22291666666666665,0,,0.23124999999999998
jacksfr01,Frank Jackson,2020,21.885603915887284,0.08541666666666667,75.0,205.0,31.0,0.053125,656.0,0.14375,0.026041666666666664,0,,0.027083333333333334
masonfr01,Frank Mason III,2020,25.97056117006465,0.04791666666666666,71.0,190.0,61.0,0.053125,53.0,0.058333333333333334,0.22291666666666665,0,,0.05520833333333333
ntilila01,Frank Ntilikina,2020,21.652881821516317,0.228125,76.0,190.0,8.0,0.3927083333333333,1187.0,0.26145833333333335,0.06354166666666666,0,,0.21666666666666667
korkmfu01,Furkan Korkmaz,2020,22.66316950666741,0.4354166666666667,79.0,190.0,26.0,0.6208333333333333,1398.0,0.40729166666666666,0.534375,0,,0.49374999999999997
allenja01,Jarrett Allen,2020,21.921196708048168,0.8635416666666667,83.0,237.0,22.0,0.96875,1647.0,0.8979166666666667,0.9020833333333333,0,,0.9333333333333335
tatumja01,Jayson Tatum,2020,22.055354150781355,0.9479166666666666,80.0,204.0,3.0,0.9541666666666666,2043.0,0.8979166666666667,0.9729166666666665,0,,0.9562499999999999
motlejo01,Johnathan Motley,2020,24.88634999563687,0.9874999999999999,80.0,230.0,61.0,0.2552083333333333,41.0,0.9947916666666667,0.46562499999999996,0,,0.7010416666666666
collijo01,John Collins,2020,22.496157178380564,0.9208333333333333,81.0,235.0,19.0,0.8927083333333332,1363.0,0.9593750000000001,0.9020833333333333,0,,0.9395833333333333
isaacjo01,Jonathan Isaac,2020,22.468778109889637,0.85625,83.0,210.0,6.0,0.6208333333333333,949.0,0.7666666666666666,0.78125,0,,0.79375
